ra,dec,V,eV,I,eI
1 05 54.940,-33 52 47.600,19.251,0.005,17.896,0.004
1 00 24.370,-33 52 47.700,23.137,0.067,22.656,0.178
1 00 46.180,-33 52 48.100,20.575,0.010,19.706,0.014
0 54 58.830,-33 52 48.200,22.258,0.044,20.475,0.029
0 59 49.770,-33 52 48.400,20.018,0.007,19.875,0.018
1 01 16.860,-33 52 48.400,22.966,0.055,22.550,0.155
0 53 10.530,-33 52 48.800,20.826,0.025,20.005,0.030
0 57 48.330,-33 52 48.900,22.592,0.082,19.929,0.020
1 01 03.850,-33 52 49.300,22.251,0.032,21.747,0.079
0 59 07.220,-33 52 49.400,20.382,0.009,19.572,0.012
0 59 38.330,-33 52 49.600,20.085,0.007,19.194,0.009
1 01 47.710,-33 52 49.600,21.146,0.028,20.423,0.056
1 06 23.560,-33 52 49.700,17.601,0.002,16.859,0.002
0 59 24.560,-33 52 49.800,22.850,0.054,22.260,0.120
1 07 13.620,-33 52 49.800,21.366,0.021,19.291,0.012
0 58 23.230,-33 52 50.000,22.074,0.046,21.522,0.082
1 00 05.870,-33 52 50.000,22.091,0.029,21.467,0.063
0 59 15.780,-33 52 50.300,23.450,0.091,22.183,0.100
1 01 13.390,-33 52 50.400,20.489,0.009,19.869,0.016
0 57 37.200,-33 52 50.500,23.161,0.123,21.450,0.073
0 59 41.970,-33 52 50.500,22.890,0.056,21.988,0.093
1 04 16.580,-33 52 50.700,21.209,0.037,20.488,0.043
0 59 45.700,-33 52 50.800,22.645,0.045,22.049,0.103
1 01 38.140,-33 52 50.800,21.375,0.034,20.616,0.065
0 55 19.480,-33 52 51.200,21.195,0.019,20.025,0.022
1 00 01.400,-33 52 51.200,22.702,0.047,22.365,0.141
1 00 58.230,-33 52 51.600,19.135,0.004,18.199,0.005
0 54 20.720,-33 52 52.600,22.341,0.101,19.839,0.021
1 00 17.140,-33 52 52.600,20.576,0.010,19.741,0.015
1 01 33.250,-33 52 52.600,21.009,0.028,18.739,0.013
1 05 24.540,-33 52 52.800,21.365,0.022,18.767,0.008
0 59 37.090,-33 52 53.500,21.471,0.018,20.751,0.033
0 55 13.870,-33 52 53.600,20.621,0.012,20.166,0.025
0 56 54.250,-33 52 53.600,23.395,0.108,22.988,0.276
0 59 20.710,-33 52 53.600,21.110,0.014,20.328,0.023
1 00 10.340,-33 52 54.100,21.807,0.025,19.927,0.015
1 07 13.750,-33 52 54.500,20.107,0.009,18.349,0.006
1 00 33.060,-33 52 54.700,19.099,0.005,17.123,0.002
0 56 20.890,-33 52 54.800,20.628,0.013,18.887,0.009
1 01 17.380,-33 52 55.300,22.986,0.056,22.453,0.140
1 04 35.790,-33 52 55.300,20.846,0.028,19.879,0.025
1 05 52.450,-33 52 55.700,17.824,0.003,17.042,0.003
1 01 43.100,-33 52 55.800,20.982,0.024,20.620,0.067
1 03 16.660,-33 52 56.200,22.021,0.078,21.423,0.100
1 00 36.530,-33 52 56.400,22.848,0.052,22.268,0.125
0 54 43.250,-33 52 56.500,23.297,0.195,22.757,0.282
1 04 54.830,-33 52 56.500,17.271,0.002,15.280,0.001
1 05 12.980,-33 52 56.500,21.279,0.029,20.776,0.055
0 59 49.380,-33 52 57.100,22.213,0.032,21.411,0.058
1 00 05.090,-33 52 57.200,22.695,0.046,22.417,0.149
0 58 14.940,-33 52 57.500,22.293,0.062,19.811,0.018
0 58 01.650,-33 52 57.600,18.638,0.005,17.576,0.004
0 56 42.590,-33 52 57.800,19.386,0.006,18.557,0.007
1 00 49.600,-33 52 57.800,21.260,0.016,20.431,0.025
1 00 45.630,-33 52 57.900,19.674,0.006,19.405,0.012
1 00 34.870,-33 52 58.400,18.465,0.003,17.514,0.003
0 52 58.950,-33 52 58.500,20.608,0.022,18.593,0.009
1 00 36.320,-33 52 58.700,20.123,0.007,19.922,0.018
0 53 10.280,-33 52 58.800,18.119,0.004,16.940,0.003
0 58 42.720,-33 52 58.900,21.314,0.025,20.622,0.037
0 59 05.660,-33 52 58.900,21.394,0.016,21.684,0.081
0 57 43.130,-33 52 59.000,20.318,0.014,17.832,0.005
0 59 25.940,-33 52 59.400,19.924,0.007,17.997,0.004
0 57 49.000,-33 52 59.900,21.663,0.037,19.433,0.014
1 01 11.520,-33 52 59.900,20.179,0.008,19.472,0.012
1 00 03.720,-33 53 00.500,20.327,0.009,19.630,0.014
1 01 25.940,-33 53 00.500,19.821,0.006,18.869,0.007
1 01 31.460,-33 53 00.600,20.492,0.018,19.742,0.031
1 02 08.220,-33 53 00.800,21.052,0.025,20.499,0.060
0 59 44.040,-33 53 00.900,20.878,0.012,20.098,0.019
1 03 04.670,-33 53 00.900,19.768,0.012,18.807,0.010
0 59 26.230,-33 53 01.000,20.182,0.008,20.040,0.020
0 59 02.560,-33 53 02.000,22.492,0.038,22.005,0.094
0 58 19.970,-33 53 02.400,18.900,0.006,17.932,0.005
1 00 47.660,-33 53 02.900,20.956,0.013,20.107,0.019
1 04 54.430,-33 53 02.900,17.372,0.002,15.738,0.001
0 57 29.520,-33 53 03.000,21.502,0.031,20.013,0.022
0 59 21.980,-33 53 03.000,20.274,0.008,19.425,0.011
0 59 57.690,-33 53 03.100,22.226,0.033,21.551,0.067
1 00 43.320,-33 53 03.300,21.250,0.015,20.518,0.027
1 00 46.540,-33 53 03.300,21.899,0.025,21.271,0.052
1 00 27.420,-33 53 03.400,17.717,0.002,16.328,0.002
1 00 16.350,-33 53 03.500,23.674,0.113,22.047,0.089
1 04 55.740,-33 53 03.500,17.735,0.003,16.909,0.003
0 54 47.400,-33 53 03.600,17.029,0.002,15.719,0.001
0 59 40.410,-33 53 03.600,20.082,0.007,19.744,0.015
1 00 19.730,-33 53 03.800,21.398,0.017,20.780,0.035
1 03 07.170,-33 53 04.100,16.867,0.002,14.967,0.001
0 59 31.550,-33 53 04.200,21.723,0.024,19.588,0.011
1 01 20.830,-33 53 04.700,16.593,0.001,15.287,0.001
0 53 20.970,-33 53 04.800,17.196,0.002,16.489,0.002
0 58 01.750,-33 53 04.800,21.356,0.027,20.639,0.039
1 00 49.580,-33 53 04.900,21.157,0.015,20.312,0.022
1 00 05.350,-33 53 05.000,22.562,0.043,21.918,0.092
1 00 26.720,-33 53 05.100,21.015,0.013,20.994,0.046
0 56 11.740,-33 53 05.200,18.598,0.004,17.460,0.004
0 59 23.400,-33 53 05.200,19.231,0.006,18.496,0.007
0 57 54.630,-33 53 05.500,17.932,0.003,16.280,0.002
1 00 18.530,-33 53 05.800,19.709,0.006,18.925,0.008
1 00 03.950,-33 53 06.000,20.590,0.010,19.774,0.015
1 05 46.510,-33 53 06.000,19.543,0.007,17.137,0.003
0 58 49.050,-33 53 06.200,20.517,0.009,19.666,0.012
1 00 04.730,-33 53 06.400,19.350,0.005,18.428,0.006
1 02 04.170,-33 53 06.600,19.036,0.008,17.995,0.008
1 03 00.120,-33 53 06.600,22.587,0.102,20.903,0.082
0 59 00.390,-33 53 06.800,20.266,0.008,20.199,0.022
1 00 14.380,-33 53 06.900,20.889,0.013,18.965,0.007
1 07 16.940,-33 53 06.900,22.978,0.130,20.318,0.030
1 00 02.450,-33 53 07.000,22.294,0.034,21.833,0.088
1 06 17.400,-33 53 07.000,23.459,0.191,21.033,0.056
0 59 57.210,-33 53 07.100,22.367,0.036,21.707,0.076
1 01 34.730,-33 53 07.200,20.781,0.023,19.098,0.017
1 01 52.500,-33 53 07.300,20.307,0.017,18.685,0.013
1 04 42.350,-33 53 07.500,19.673,0.011,18.370,0.007
0 59 52.240,-33 53 07.700,16.167,0.001,14.863,0.001
0 59 48.140,-33 53 07.900,22.598,0.043,22.165,0.116
0 59 35.780,-33 53 08.100,20.233,0.008,19.387,0.011
1 05 08.700,-33 53 08.200,21.207,0.018,19.965,0.021
1 05 26.960,-33 53 08.600,21.669,0.041,20.073,0.026
0 59 03.460,-33 53 08.800,20.060,0.007,19.198,0.009
1 05 25.870,-33 53 08.800,16.782,0.002,16.070,0.002
1 00 37.230,-33 53 09.200,20.094,0.007,19.525,0.013
1 00 12.650,-33 53 09.500,18.148,0.003,17.132,0.003
1 00 47.010,-33 53 09.600,22.276,0.033,21.784,0.083
1 01 05.220,-33 53 09.600,19.805,0.006,19.366,0.011
1 01 15.060,-33 53 09.900,21.557,0.019,20.831,0.034
0 57 22.660,-33 53 10.100,20.647,0.012,20.677,0.038
0 56 22.940,-33 53 10.400,20.177,0.009,20.094,0.023
1 01 38.670,-33 53 10.500,22.555,0.099,20.354,0.048
1 00 18.520,-33 53 10.600,20.253,0.008,19.612,0.014
1 01 27.080,-33 53 11.100,22.710,0.045,21.748,0.070
1 00 53.050,-33 53 11.400,20.212,0.008,20.007,0.019
1 01 05.550,-33 53 11.400,20.590,0.010,19.761,0.014
0 55 38.710,-33 53 11.500,21.605,0.025,21.131,0.055
1 00 08.960,-33 53 11.500,19.784,0.006,19.087,0.009
1 01 26.160,-33 53 11.500,21.523,0.018,20.504,0.024
0 55 53.390,-33 53 11.800,20.270,0.010,20.231,0.027
0 59 59.180,-33 53 11.800,18.791,0.004,18.182,0.005
1 04 01.250,-33 53 11.800,23.098,0.193,22.426,0.235
1 00 10.730,-33 53 11.900,22.056,0.028,21.321,0.055
0 56 23.280,-33 53 12.500,20.868,0.015,20.135,0.023
0 59 40.400,-33 53 12.800,21.510,0.019,20.811,0.035
1 05 46.450,-33 53 13.000,22.532,0.082,21.799,0.123
0 59 57.850,-33 53 13.300,20.230,0.008,19.455,0.012
1 00 00.800,-33 53 13.300,21.760,0.023,21.305,0.056
1 00 43.850,-33 53 13.900,21.517,0.019,20.703,0.031
1 01 05.670,-33 53 14.000,21.844,0.023,21.261,0.051
1 00 05.170,-33 53 14.400,20.212,0.008,20.023,0.020
0 59 13.880,-33 53 14.900,21.212,0.015,20.451,0.025
1 04 25.090,-33 53 15.100,20.433,0.021,18.311,0.007
0 56 15.650,-33 53 15.300,19.999,0.009,19.172,0.011
0 59 42.730,-33 53 15.300,21.583,0.020,20.916,0.038
1 01 12.630,-33 53 15.700,21.686,0.021,20.984,0.039
1 06 17.130,-33 53 16.300,20.637,0.017,20.069,0.027
0 56 58.570,-33 53 16.400,22.385,0.051,20.616,0.034
0 53 54.760,-33 53 16.500,22.888,0.160,20.785,0.051
1 00 04.070,-33 53 16.600,19.954,0.007,19.123,0.009
1 00 51.990,-33 53 16.600,21.448,0.018,20.687,0.031
0 59 23.470,-33 53 16.800,22.569,0.042,22.221,0.120
1 00 06.070,-33 53 16.800,22.836,0.054,22.102,0.106
1 00 12.350,-33 53 17.000,22.303,0.034,21.693,0.077
1 04 08.330,-33 53 17.000,19.766,0.012,17.853,0.005
1 00 42.340,-33 53 17.100,22.001,0.027,21.367,0.057
0 59 50.710,-33 53 17.200,21.184,0.015,20.570,0.029
0 59 43.640,-33 53 17.600,21.818,0.024,21.103,0.045
1 02 24.610,-33 53 17.600,18.080,0.004,17.292,0.005
1 04 32.470,-33 53 18.000,20.329,0.017,20.014,0.029
0 59 41.250,-33 53 18.100,19.991,0.007,19.049,0.008
1 00 02.010,-33 53 18.200,22.970,0.058,22.568,0.166
0 59 42.190,-33 53 18.300,21.115,0.014,20.302,0.022
0 58 31.700,-33 53 18.600,21.439,0.028,20.716,0.041
1 01 46.620,-33 53 18.800,22.291,0.080,19.949,0.034
0 59 26.260,-33 53 18.900,20.430,0.009,19.645,0.013
1 01 36.060,-33 53 18.900,21.125,0.030,19.222,0.019
1 03 21.830,-33 53 18.900,22.085,0.083,21.510,0.109
0 59 25.030,-33 53 19.000,21.960,0.026,21.262,0.050
0 58 08.060,-33 53 19.100,20.848,0.018,19.779,0.019
0 55 49.790,-33 53 19.200,20.165,0.010,18.164,0.005
1 02 41.640,-33 53 19.300,16.236,0.002,15.663,0.002
0 54 40.870,-33 53 19.400,20.835,0.028,18.287,0.006
0 56 17.780,-33 53 19.500,22.357,0.044,21.676,0.087
0 59 51.380,-33 53 19.600,21.150,0.015,20.401,0.025
1 03 56.600,-33 53 20.000,18.021,0.004,17.039,0.003
0 59 54.020,-33 53 20.100,18.898,0.004,17.692,0.003
0 59 44.230,-33 53 20.300,22.597,0.042,22.356,0.141
1 00 24.300,-33 53 20.700,21.565,0.020,20.791,0.034
0 53 28.340,-33 53 20.800,20.703,0.022,19.851,0.024
0 57 46.520,-33 53 21.000,21.902,0.043,20.374,0.030
1 00 21.550,-33 53 21.000,21.329,0.017,20.540,0.028
1 00 36.100,-33 53 21.100,20.118,0.007,19.842,0.017
1 00 29.830,-33 53 21.300,20.190,0.008,20.030,0.020
0 59 30.920,-33 53 21.400,16.390,0.001,15.888,0.001
1 00 15.670,-33 53 21.600,20.410,0.009,19.557,0.013
1 04 39.030,-33 53 21.800,19.218,0.008,18.505,0.008
1 04 25.150,-33 53 21.900,23.365,0.242,21.917,0.142
1 02 05.610,-33 53 22.200,20.801,0.023,19.725,0.030
0 57 39.280,-33 53 22.300,19.838,0.009,18.874,0.010
0 58 20.670,-33 53 22.300,21.268,0.024,20.611,0.037
0 59 42.320,-33 53 22.300,22.341,0.035,21.761,0.080
1 05 22.770,-33 53 22.300,22.580,0.107,19.479,0.016
1 06 41.060,-33 53 22.400,23.059,0.122,21.999,0.137
0 55 28.160,-33 53 22.500,17.061,0.002,16.496,0.002
0 58 22.620,-33 53 22.500,22.118,0.052,20.203,0.025
1 00 49.550,-33 53 22.500,21.713,0.021,21.014,0.041
1 00 51.970,-33 53 22.500,21.137,0.014,20.407,0.025
1 01 09.780,-33 53 22.700,22.271,0.032,21.756,0.078
0 58 16.870,-33 53 22.800,21.423,0.028,20.716,0.041
1 00 00.330,-33 53 22.800,21.942,0.026,21.334,0.056
0 59 59.090,-33 53 23.000,19.718,0.006,18.825,0.007
1 00 44.360,-33 53 23.100,20.853,0.012,20.078,0.019
0 59 58.490,-33 53 23.300,17.501,0.002,16.313,0.002
1 00 31.030,-33 53 23.300,22.598,0.043,22.096,0.109
0 59 15.460,-33 53 23.400,21.215,0.015,20.423,0.024
1 04 14.750,-33 53 23.400,23.022,0.184,21.463,0.096
1 00 20.630,-33 53 23.700,22.392,0.036,21.797,0.084
0 59 03.260,-33 53 23.800,22.396,0.036,21.593,0.063
0 54 15.510,-33 53 23.900,22.049,0.073,20.438,0.037
0 56 01.340,-33 53 23.900,22.314,0.044,21.451,0.072
1 03 33.940,-33 53 24.100,21.480,0.052,19.595,0.019
0 53 59.550,-33 53 24.500,23.009,0.186,20.145,0.028
1 00 45.620,-33 53 24.700,21.935,0.025,21.271,0.052
0 58 04.280,-33 53 24.900,19.925,0.010,19.047,0.011
0 58 53.070,-33 53 25.300,22.989,0.061,21.246,0.040
1 06 31.460,-33 53 25.400,23.278,0.166,20.503,0.035
1 07 17.950,-33 53 25.700,23.476,0.186,21.603,0.095
1 06 35.640,-33 53 25.900,16.112,0.001,15.389,0.001
0 56 57.970,-33 53 26.000,17.243,0.002,15.782,0.001
1 07 22.160,-33 53 26.100,15.003,0.001,14.119,0.001
1 06 21.870,-33 53 26.300,23.674,0.212,22.284,0.173
0 59 54.440,-33 53 26.400,19.026,0.004,18.175,0.005
1 01 43.600,-33 53 26.600,20.267,0.017,17.908,0.007
1 04 28.400,-33 53 26.600,19.873,0.013,17.920,0.005
1 01 25.400,-33 53 26.800,19.204,0.004,18.198,0.005
0 55 36.740,-33 53 26.900,20.243,0.010,20.182,0.025
0 55 18.920,-33 53 27.000,19.741,0.008,17.930,0.005
0 58 46.470,-33 53 27.100,20.538,0.014,19.922,0.021
1 04 37.110,-33 53 27.300,23.090,0.180,22.492,0.238
1 00 02.990,-33 53 27.800,19.925,0.007,19.600,0.014
1 00 41.870,-33 53 27.800,20.327,0.008,20.248,0.024
1 01 07.250,-33 53 28.100,20.209,0.008,19.702,0.014
1 05 44.660,-33 53 28.100,18.456,0.003,17.783,0.004
1 06 08.370,-33 53 28.200,21.549,0.023,19.847,0.018
1 00 41.510,-33 53 28.300,21.672,0.021,20.911,0.038
1 00 36.440,-33 53 28.400,19.438,0.005,18.526,0.006
1 03 50.700,-33 53 28.400,22.712,0.136,22.311,0.215
0 53 58.170,-33 53 28.600,21.501,0.043,21.207,0.081
1 00 29.260,-33 53 29.000,22.706,0.046,22.332,0.136
1 00 26.300,-33 53 29.100,23.183,0.079,20.721,0.025
1 01 33.120,-33 53 29.600,21.481,0.039,19.460,0.023
1 00 35.470,-33 53 29.700,19.966,0.007,19.081,0.009
0 52 57.420,-33 53 30.300,22.030,0.074,19.957,0.026
0 58 01.710,-33 53 30.300,21.327,0.026,20.560,0.036
0 59 06.800,-33 53 30.300,20.113,0.007,19.269,0.010
0 59 43.270,-33 53 30.300,22.692,0.046,22.189,0.117
1 03 58.590,-33 53 30.300,22.691,0.140,21.630,0.117
0 57 02.470,-33 53 30.900,20.202,0.009,20.046,0.023
0 57 10.070,-33 53 30.900,22.379,0.051,20.071,0.021
1 02 48.720,-33 53 30.900,22.265,0.091,21.585,0.107
1 00 18.320,-33 53 31.600,17.286,0.002,16.011,0.001
1 01 34.400,-33 53 31.700,14.996,0.001,14.409,0.001
1 05 05.000,-33 53 31.700,22.139,0.059,21.807,0.133
1 00 13.130,-33 53 32.000,21.752,0.022,21.037,0.043
0 56 39.880,-33 53 32.100,20.620,0.013,18.486,0.006
1 00 30.300,-33 53 32.100,21.062,0.014,20.287,0.023
0 59 43.420,-33 53 32.300,22.675,0.046,22.097,0.107
1 00 59.840,-33 53 32.300,20.931,0.012,20.131,0.019
1 00 41.530,-33 53 32.600,22.665,0.045,22.136,0.111
0 59 46.570,-33 53 32.700,18.972,0.004,17.262,0.003
1 00 15.550,-33 53 32.800,22.900,0.059,21.239,0.044
0 59 58.270,-33 53 32.900,22.415,0.037,22.029,0.105
0 57 52.470,-33 53 33.200,21.826,0.043,19.512,0.014
1 07 11.820,-33 53 33.700,19.058,0.005,17.501,0.003
0 54 08.060,-33 53 33.900,18.620,0.005,16.620,0.002
0 59 01.600,-33 53 34.000,17.825,0.002,16.333,0.002
1 01 14.950,-33 53 34.200,21.885,0.023,21.428,0.059
0 56 11.840,-33 53 34.400,22.262,0.042,21.257,0.059
0 55 32.750,-33 53 34.700,22.462,0.049,21.580,0.079
0 59 54.140,-33 53 34.800,19.583,0.006,18.692,0.007
1 04 45.080,-33 53 34.900,19.611,0.010,19.049,0.013
1 07 07.640,-33 53 35.200,21.439,0.022,19.235,0.011
0 58 14.350,-33 53 35.500,20.916,0.020,19.572,0.016
1 07 17.910,-33 53 35.600,18.729,0.005,17.165,0.003
0 53 48.840,-33 53 36.000,18.980,0.006,18.342,0.007
0 58 41.740,-33 53 36.200,20.130,0.011,19.429,0.014
0 58 18.500,-33 53 36.300,22.310,0.055,21.721,0.096
1 00 34.180,-33 53 36.500,21.877,0.026,20.466,0.024
0 58 46.720,-33 53 36.600,17.263,0.002,16.269,0.002
0 59 14.650,-33 53 36.800,22.885,0.054,22.210,0.111
0 58 57.290,-33 53 36.900,22.402,0.035,21.898,0.085
1 00 06.730,-33 53 37.200,22.368,0.036,21.874,0.090
0 55 36.030,-33 53 37.300,23.479,0.125,21.190,0.053
1 03 48.510,-33 53 37.400,19.291,0.008,18.460,0.008
0 53 24.490,-33 53 37.700,19.008,0.007,17.426,0.004
0 58 10.110,-33 53 37.800,18.656,0.005,17.708,0.004
0 59 28.960,-33 53 38.100,21.703,0.021,21.029,0.041
1 06 03.380,-33 53 38.300,19.306,0.006,17.206,0.003
1 00 16.800,-33 53 38.500,22.052,0.028,21.513,0.066
0 59 32.610,-33 53 38.600,19.159,0.004,18.247,0.005
0 57 17.500,-33 53 38.900,19.410,0.006,18.039,0.005
1 03 29.330,-33 53 39.700,23.359,0.267,20.610,0.043
1 01 12.440,-33 53 40.000,22.624,0.043,21.846,0.081
1 04 31.250,-33 53 40.200,23.269,0.236,20.875,0.054
1 00 04.470,-33 53 40.700,19.540,0.006,18.757,0.007
1 01 27.960,-33 53 41.000,22.355,0.033,21.803,0.078
1 03 06.420,-33 53 41.100,21.641,0.047,19.381,0.021
0 58 07.650,-33 53 41.500,17.434,0.003,16.755,0.003
0 59 00.740,-33 53 41.700,21.129,0.015,18.890,0.006
0 59 03.890,-33 53 42.300,16.642,0.001,15.850,0.001
1 01 44.030,-33 53 42.300,20.406,0.016,20.317,0.052
0 59 03.000,-33 53 42.400,22.385,0.035,21.864,0.083
0 59 13.380,-33 53 42.500,20.924,0.012,20.115,0.019
0 58 01.810,-33 53 42.900,20.255,0.013,17.859,0.005
1 00 04.570,-33 53 42.900,20.578,0.010,19.759,0.015
1 05 26.170,-33 53 42.900,23.102,0.160,20.555,0.041
0 59 42.150,-33 53 43.000,20.868,0.012,20.116,0.019
1 01 50.090,-33 53 43.100,18.987,0.007,18.043,0.008
1 05 53.210,-33 53 43.100,21.785,0.044,20.861,0.054
1 04 55.000,-33 53 43.300,21.134,0.016,20.236,0.026
0 53 31.690,-33 53 43.600,22.530,0.105,21.820,0.132
1 01 09.890,-33 53 43.800,21.076,0.014,20.227,0.020
1 00 25.190,-33 53 43.900,19.209,0.005,18.287,0.005
0 56 50.720,-33 53 44.000,18.535,0.004,17.878,0.005
1 00 42.760,-33 53 44.100,22.254,0.032,21.547,0.065
0 55 54.690,-33 53 44.200,20.746,0.014,19.932,0.020
0 55 58.660,-33 53 44.700,20.390,0.011,19.745,0.017
0 59 57.740,-33 53 44.800,22.053,0.028,21.441,0.061
1 00 03.370,-33 53 45.400,20.348,0.009,19.502,0.012
1 00 10.300,-33 53 45.400,20.881,0.012,19.998,0.018
1 05 21.410,-33 53 45.700,17.525,0.002,15.696,0.001
0 59 54.170,-33 53 45.800,21.738,0.022,21.060,0.043
1 00 36.980,-33 53 45.900,22.234,0.032,21.724,0.079
0 59 47.660,-33 53 46.100,20.114,0.007,19.946,0.019
1 04 16.840,-33 53 46.100,21.653,0.061,18.952,0.011
1 03 18.390,-33 53 46.200,21.625,0.045,19.644,0.026
1 00 39.920,-33 53 46.300,21.456,0.018,20.671,0.031
1 04 32.470,-33 53 46.300,22.651,0.137,20.654,0.046
1 00 11.630,-33 53 46.500,20.411,0.009,19.178,0.009
1 00 26.740,-33 53 46.500,22.083,0.028,21.543,0.067
0 56 31.220,-33 53 46.800,19.704,0.007,18.853,0.009
1 00 10.600,-33 53 47.300,22.151,0.030,21.835,0.090
1 00 01.470,-33 53 47.400,22.192,0.031,21.721,0.079
0 58 13.150,-33 53 47.600,22.791,0.087,21.391,0.070
0 52 46.800,-33 53 48.100,20.409,0.017,19.765,0.023
0 59 19.480,-33 53 48.200,16.290,0.001,15.164,0.001
1 00 15.440,-33 53 48.300,22.944,0.057,22.336,0.132
0 59 50.010,-33 53 48.500,18.193,0.003,17.162,0.003
1 00 12.590,-33 53 48.500,18.786,0.004,17.826,0.004
0 55 28.600,-33 53 48.700,17.265,0.002,16.151,0.002
1 00 46.230,-33 53 49.600,20.330,0.008,20.229,0.023
1 00 14.910,-33 53 49.700,21.954,0.025,21.662,0.078
1 02 18.370,-33 53 49.700,21.848,0.048,21.081,0.096
1 03 24.780,-33 53 49.800,19.359,0.009,18.828,0.011
0 59 38.230,-33 53 49.900,21.750,0.022,21.133,0.046
1 03 42.950,-33 53 49.900,20.046,0.014,19.921,0.028
0 59 54.520,-33 53 50.000,21.684,0.021,21.235,0.052
1 02 37.760,-33 53 50.100,21.657,0.040,21.138,0.101
0 57 58.910,-33 53 50.200,18.056,0.004,17.194,0.003
0 58 22.680,-33 53 50.500,22.500,0.073,20.102,0.022
0 56 41.180,-33 53 50.700,22.492,0.055,20.039,0.020
0 56 03.940,-33 53 51.200,17.449,0.002,16.310,0.002
1 02 05.230,-33 53 51.200,19.576,0.010,19.094,0.019
1 00 41.260,-33 53 51.600,23.308,0.078,22.269,0.115
1 05 28.010,-33 53 51.800,21.751,0.029,18.807,0.008
0 58 58.090,-33 53 52.100,19.745,0.006,18.848,0.007
1 04 04.160,-33 53 52.100,20.433,0.022,18.138,0.006
1 00 03.340,-33 53 52.600,21.923,0.026,21.196,0.048
1 04 03.280,-33 53 52.700,23.512,0.288,21.870,0.140
1 06 42.000,-33 53 52.800,20.890,0.015,18.733,0.007
0 59 53.510,-33 53 53.300,22.096,0.029,21.653,0.075
0 53 11.490,-33 53 53.400,20.205,0.017,17.983,0.005
1 01 47.860,-33 53 53.700,21.393,0.034,20.646,0.067
0 59 47.520,-33 53 54.200,20.296,0.008,19.504,0.012
0 59 56.770,-33 53 54.200,17.308,0.002,15.808,0.001
1 07 28.400,-33 53 54.400,21.919,0.051,19.249,0.012
0 59 50.940,-33 53 54.500,22.448,0.038,21.842,0.086
1 00 21.890,-33 53 55.200,20.223,0.008,19.991,0.019
0 54 27.770,-33 53 55.800,21.234,0.035,20.155,0.030
0 59 33.610,-33 53 56.200,21.839,0.024,21.233,0.050
0 59 18.950,-33 53 57.000,21.180,0.015,20.502,0.026
0 59 57.270,-33 53 57.000,20.915,0.013,20.118,0.019
1 07 27.480,-33 53 57.000,20.856,0.014,18.272,0.005
1 00 16.320,-33 53 57.100,21.868,0.024,21.278,0.053
1 04 20.260,-33 53 57.100,22.923,0.168,21.397,0.090
1 00 34.000,-33 53 57.200,20.148,0.008,19.745,0.015
1 00 36.330,-33 53 57.300,20.825,0.012,19.991,0.017
1 00 39.790,-33 53 58.100,19.699,0.006,18.770,0.007
0 59 44.290,-33 53 58.300,22.588,0.046,20.829,0.030
1 01 32.310,-33 53 58.300,20.537,0.018,20.059,0.041
0 52 57.510,-33 53 58.600,19.317,0.008,17.028,0.003
0 59 24.540,-33 53 58.600,21.477,0.018,20.715,0.031
1 04 17.860,-33 53 58.700,20.781,0.026,19.934,0.026
0 59 50.490,-33 53 59.000,20.587,0.010,19.795,0.015
1 00 01.890,-33 53 59.100,22.746,0.049,22.209,0.119
1 00 11.920,-33 53 59.100,22.662,0.045,22.234,0.125
0 55 53.690,-33 53 59.300,21.798,0.029,21.120,0.054
1 00 15.220,-33 53 59.300,22.992,0.058,22.756,0.199
1 00 19.950,-33 53 59.500,20.203,0.008,19.988,0.019
1 03 25.810,-33 53 59.500,16.981,0.002,15.683,0.001
0 59 46.470,-33 53 59.900,22.754,0.049,22.295,0.129
0 59 13.390,-33 54 00.700,20.528,0.010,18.159,0.004
0 59 42.650,-33 54 01.200,19.418,0.005,18.823,0.008
1 04 51.340,-33 54 01.200,22.584,0.086,21.711,0.115
1 02 17.630,-33 54 01.500,21.090,0.026,20.386,0.053
1 05 59.480,-33 54 01.500,20.082,0.009,17.831,0.004
1 06 00.690,-33 54 01.500,23.075,0.151,20.082,0.025
0 59 48.380,-33 54 02.100,18.803,0.004,17.957,0.004
1 00 23.390,-33 54 02.100,22.707,0.047,22.112,0.109
0 52 51.750,-33 54 02.300,23.382,0.210,22.627,0.268
1 06 42.860,-33 54 02.400,23.558,0.188,22.283,0.171
0 59 58.770,-33 54 02.500,20.606,0.010,19.787,0.015
0 55 55.900,-33 54 02.900,23.049,0.080,22.200,0.136
0 59 32.190,-33 54 03.000,21.889,0.023,22.145,0.124
0 59 43.730,-33 54 03.100,17.891,0.002,17.057,0.003
0 58 32.950,-33 54 03.200,21.306,0.025,20.513,0.034
0 59 54.480,-33 54 03.200,21.973,0.027,21.230,0.050
0 57 03.860,-33 54 03.400,21.158,0.018,20.346,0.028
1 05 15.610,-33 54 03.800,21.960,0.034,19.723,0.016
0 55 03.680,-33 54 04.600,18.702,0.006,16.677,0.002
0 55 29.460,-33 54 04.600,23.504,0.126,21.227,0.054
1 06 27.740,-33 54 04.800,23.605,0.203,21.881,0.120
0 59 07.620,-33 54 05.000,20.255,0.008,20.072,0.019
0 59 24.930,-33 54 05.100,20.058,0.007,19.174,0.009
0 54 14.020,-33 54 05.200,19.235,0.007,18.702,0.009
